,Tweets
0,": I’ll giveaway a ASUS VivoBook 10th Gen Intel i3 CPU laptop to one person in 72 hours.

Will ship anywhere in the world

To…"
1,NBA bubble intel - Schedule and live updates for Day 2 of seeding games 
2,": In a classified briefing yesterday, Trump’s top counter intel official told lawmakers that Russia was indeed working to bo…"
3, _Intel How is these more NATO then a Gripen ?
4,": In a classified briefing yesterday, Trump’s top counter intel official told lawmakers that Russia was indeed working to bo…"
5,":  _medco First of she was talking about the intel about Russian bounties.
But if you like may I ask…"
6,_Herridge: NEW: Senate investigators   renew push for intel + law enforcement records related to 2016 FB…
7,: If you wanna talk about national security maybe you should start with the acting chairman of the Senate intel committee (…
8,: Hmm I wonder if   or  have any suggestions for what COLOR I should dye my hair...
9,": for readers not keeping track of Russian names, two more Danchenko sources (2, 5) have been firmly identified h/t _N…"
10,_sanity:           …
11,"_: My colleague  tweeted over two months ago about the ""bombshell"" intel about the Bidens (she actually listened…"
12,"  So you have hard evidence of that? Cause ALL the intel agencies and military dont, so who are you working for comrade?"
13,_gameon12: In 2016 he weaponized the entire Intel Community to defeat and destroy Trump from becoming President. When that failed he…
14,": In a classified briefing yesterday, Trump’s top counter intel official told lawmakers that Russia was indeed working to bo…"
15,_gameon12: In 2016 he weaponized the entire Intel Community to defeat and destroy Trump from becoming President. When that failed he…
16,"_: My colleague  tweeted over two months ago about the ""bombshell"" intel about the Bidens (she actually listened…"
17,"_US: Analyticship:BI,ML,AI,BigData,Analytics,HiEd:Intel researchers create AI system that rates similarity of 2 pieces o…"
18,"  Sedition treason and enemy agents of foreign intel directives are enemy combatantants and should be dealt with no quarter.
The crying is going to start soon."
19,": In a classified briefing yesterday, Trump’s top counter intel official told lawmakers that Russia was indeed working to bo…"
20,": This is exactly what got us here in the 1st place.
17 Intel agencies tell Obama Russia is trying to help Trump.

Obama da…"
21,": I’ll giveaway a ASUS VivoBook 10th Gen Intel i3 CPU laptop to one person in 72 hours.

Will ship anywhere in the world

To…"
22,: Hmm I wonder if   or  have any suggestions for what COLOR I should dye my hair...
23,": I’ll giveaway a ASUS VivoBook 10th Gen Intel i3 CPU laptop to one person in 72 hours.

Will ship anywhere in the world

To…"
24,": In a classified briefing yesterday, Trump’s top counter intel official told lawmakers that Russia was indeed working to bo…"
25,": I’ll giveaway a ASUS VivoBook 10th Gen Intel i3 CPU laptop to one person in 72 hours.

Will ship anywhere in the world

To…"
26,: ICYMI - EXCLUSIVE: Hard-Hitting Blistering Raw Interview on Anthony Fauci Uncovers FAR MORE Disturbing Dirt — Top Viro…
27,": In a classified briefing yesterday, Trump’s top counter intel official told lawmakers that Russia was indeed working to bo…"
